endpoint,panel,mode,split,fold,n_train,n_test,n_positive_test,n_scaffolds_test,roc_auc,pr_auc,mcc,f1,balanced_acc,n_total,n_positive,n_decoy,n_measured_inactive_train
SERT,Binder classifier,hybrid_decoys_plus_measured_inactives,random,8,10696,1188,297,,0.9977250998575353,0.9940862276814059,0.9462580931228414,0.959731543624161,0.9741863075196409,11884,2971,8632,281
SERT,Binder classifier,hybrid_decoys_plus_measured_inactives,random,9,10696,1188,297,,0.9971771587933205,0.9939087057948075,0.9594102342394886,0.9693877551020408,0.9764309764309764,11884,2971,8632,281
SERT,Binder classifier,hybrid_decoys_plus_measured_inactives,random,10,10696,1188,297,,0.9964402725345487,0.9914723938578377,0.9389710680668849,0.9538461538461539,0.9646464646464648,11884,2971,8632,281
SERT,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,1,10695,1189,296,726.0,0.9960768439211888,0.9881020954521865,0.9112609036186687,0.9321739130434783,0.946543688145032,11884,2971,8632,281
SERT,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,2,10695,1189,312,727.0,0.992765619974856,0.9777284083040274,0.8719586957556112,0.9016949152542373,0.9194405461509224,11884,2971,8632,281
SERT,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,3,10695,1189,241,727.0,0.9877444543656004,0.9683256584407566,0.894592143097322,0.9152542372881356,0.9402213876779243,11884,2971,8632,281
SERT,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,4,10695,1189,299,728.0,0.9947578069219496,0.9867462495372097,0.9206826436076865,0.9407894736842105,0.9653395212506106,11884,2971,8632,281
SERT,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,5,10696,1188,345,727.0,0.9939347052452422,0.9882653869803923,0.9072752805402875,0.9327354260089686,0.9450564753210584,11884,2971,8632,281
SERT,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,6,10696,1188,295,727.0,0.9950006643004917,0.9874788875999195,0.9156343053234728,0.9347442680776014,0.9452331694725454,11884,2971,8632,281
SERT,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,7,10696,1188,295,728.0,0.995213240457798,0.9880765237212368,0.9204601078181448,0.9397590361445783,0.9554330290204415,11884,2971,8632,281
SERT,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,8,10696,1188,305,729.0,0.9825483170265302,0.9605991128638027,0.8859844967533025,0.9137055837563451,0.9335629281696155,11884,2971,8632,281
SERT,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,9,10696,1188,327,729.0,0.9944911506782171,0.988160809408906,0.9319947685682336,0.9498432601880877,0.9586569915502563,11884,2971,8632,281
SERT,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,10,10696,1188,256,729.0,0.994421439109442,0.982667296806708,0.9378508034949442,0.9512670565302144,0.9695882510729614,11884,2971,8632,281
SIRT1,Binder classifier,measured_labels_holdout,random,1,643,72,16,,0.9620535714285714,0.8617352806507218,0.7254513097032709,0.7878787878787878,0.8705357142857143,715,162,0,553
SIRT1,Binder classifier,measured_labels_holdout,random,2,643,72,16,,0.9107142857142858,0.7517101009777309,0.662728999247633,0.7317073170731707,0.8794642857142857,715,162,0,553
