endpoint,panel,mode,split,fold,n_train,n_test,n_positive_test,n_scaffolds_test,roc_auc,pr_auc,mcc,f1,balanced_acc,n_total,n_positive,n_decoy,n_measured_inactive_train
HDAC1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,10,10998,1222,305,,0.9987843466757245,0.9964593964594926,0.9566740539495773,0.9675324675324676,0.981436258648122,12220,3055,8880,285
HDAC1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,1,10998,1222,276,802.0,0.9910416092165334,0.9700326672805696,0.8578200704751758,0.8900900900900901,0.9305504488770413,12220,3055,8880,285
HDAC1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,2,10998,1222,269,809.0,0.9991808298583615,0.9970896352973408,0.9559309217070309,0.9655172413793104,0.9860292482748667,12220,3055,8880,285
HDAC1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,3,10998,1222,342,810.0,0.9985446570972887,0.9959347979419104,0.9659212088315151,0.9754689754689755,0.9867656831472621,12220,3055,8880,285
HDAC1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,4,10998,1222,255,810.0,0.9967232394508992,0.9839137084595609,0.9244409734651778,0.9398496240601504,0.9762353752255815,12220,3055,8880,285
HDAC1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,5,10998,1222,330,810.0,0.9982946052452779,0.9952044111830625,0.9567995285735805,0.9685157421289355,0.9815464057616523,12220,3055,8880,285
HDAC1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,6,10998,1222,300,810.0,0.9975921908893709,0.9940802086213493,0.960588299315772,0.9702970297029703,0.9834924078091106,12220,3055,8880,285
HDAC1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,7,10998,1222,285,810.0,0.9987679979029751,0.9961223285363376,0.9619160057079572,0.9707401032702238,0.9872661910913891,12220,3055,8880,285
HDAC1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,8,10998,1222,334,810.0,0.9976803150455845,0.993677565290438,0.9302496894596123,0.9494047619047619,0.9668467119814426,12220,3055,8880,285
HDAC1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,9,10998,1222,335,811.0,0.9968365612747985,0.9899335235980952,0.9470584786402059,0.9616519174041298,0.976984300593986,12220,3055,8880,285
HDAC1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,10,10998,1222,329,811.0,0.9979033141931333,0.994358480409369,0.9412276263512697,0.957037037037037,0.9780035194368901,12220,3055,8880,285
HDAC6,Binder classifier,hybrid_decoys_plus_measured_inactives,random,1,13374,1486,372,,0.9987982857473794,0.9976208761671628,0.9766229574361117,0.9823609226594301,0.9852126406826123,14860,3715,11022,123
HDAC6,Binder classifier,hybrid_decoys_plus_measured_inactives,random,2,13374,1486,372,,0.9986390224126948,0.9946817675416185,0.9748603993706367,0.9811320754716981,0.9865543136232892,14860,3715,11022,123
HDAC6,Binder classifier,hybrid_decoys_plus_measured_inactives,random,3,13374,1486,372,,0.9993798382270613,0.9983929778800629,0.983834582186474,0.9878542510121457,0.9905889847686338,14860,3715,11022,123
HDAC6,Binder classifier,hybrid_decoys_plus_measured_inactives,random,4,13374,1486,372,,0.9991819655991198,0.9973925682803089,0.9716158236816076,0.9787234042553191,0.9892376595046428,14860,3715,11022,123
HDAC6,Binder classifier,hybrid_decoys_plus_measured_inactives,random,5,13374,1486,372,,0.9995897762591455,0.9987410141586497,0.9767685380979785,0.9825970548862115,0.9896889056195826,14860,3715,11022,123
HDAC6,Binder classifier,hybrid_decoys_plus_measured_inactives,random,6,13374,1486,371,,0.9992554361621119,0.9980059026686843,0.9803097811788345,0.9852348993288591,0.9914701509675704,14860,3715,11022,123
HDAC6,Binder classifier,hybrid_decoys_plus_measured_inactives,random,7,13374,1486,371,,0.9996083787605913,0.9989076212048847,0.9766012783493122,0.9824086603518268,0.9869761763746026,14860,3715,11022,123
HDAC6,Binder classifier,hybrid_decoys_plus_measured_inactives,random,8,13374,1486,371,,0.9957477669128401,0.9930714400784357,0.9711552437781712,0.9782016348773842,0.9820337712883613,14860,3715,11022,123
HDAC6,Binder classifier,hybrid_decoys_plus_measured_inactives,random,9,13374,1486,371,,0.9997123276080886,0.9991035299807094,0.9820126023736753,0.9864864864864865,0.9901200246576336,14860,3715,11022,123
