endpoint,task,split,fold,n_train,n_test,roc_auc,pr_auc,mcc,f1,balanced_acc,r2,rmse,mae,spearman
GSK3B,classification,random,6,4895,544,0.9702827157849646,0.9901836426876973,0.7692989938111926,0.9424724602203183,0.8799350324837582,,,,
GSK3B,classification,random,7,4895,544,0.9683908045977012,0.9889767010050042,0.7594690823010387,0.9400244798041616,0.875080316984365,,,,
GSK3B,classification,random,8,4895,544,0.9566466766616691,0.9844029266085463,0.7446769994999156,0.9384800965018094,0.8558756336117656,,,,
GSK3B,classification,random,9,4895,544,0.9583779538802029,0.9844128438665016,0.750700990065853,0.9374233128834356,0.8726172627971729,,,,
GSK3B,classification,random,10,4896,543,0.954893540883879,0.9843238845556775,0.7486326793043551,0.9356435643564357,0.8760869565217391,,,,
GSK3B,classification,scaffold,1,4895,544,0.9589308733483727,0.9874938272710269,0.746093223625484,0.9480968858131488,0.859450531743474,,,,
GSK3B,classification,scaffold,2,4895,544,0.9103702409504597,0.9576361657221393,0.6450343140870265,0.896640826873385,0.8105116027891167,,,,
GSK3B,classification,scaffold,3,4895,544,0.9138096531739565,0.9693416908047011,0.6312774937460516,0.9119420989143546,0.8065471339309971,,,,
GSK3B,classification,scaffold,4,4895,544,0.9704874835309617,0.9921986144549936,0.7341917233766545,0.9457900807381776,0.8561163474206952,,,,
GSK3B,classification,scaffold,5,4895,544,0.9633149655393223,0.9854531279872747,0.7599444470465344,0.9366459627329192,0.8637497261682086,,,,
GSK3B,classification,scaffold,6,4895,544,0.954646815767036,0.9802578564703504,0.7818806808905758,0.9364461738002594,0.8916672132222732,,,,
GSK3B,classification,scaffold,7,4895,544,0.9071018148693154,0.9624100392155085,0.6298184354003746,0.9008782936010038,0.8197568495550417,,,,
GSK3B,classification,scaffold,8,4895,544,0.9383019383019383,0.9772510805102903,0.6551346999260089,0.906801007556675,0.8261670761670761,,,,
GSK3B,classification,scaffold,9,4895,544,0.954983017440121,0.9845486921961262,0.7058535063882218,0.9266503667481663,0.8425637505939496,,,,
GSK3B,classification,scaffold,10,4896,543,0.9529918118832669,0.9874308037593014,0.7035901742599202,0.9399538106235565,0.8517950871299601,,,,
MAO_A,classification,random,1,3226,359,0.9451827242524918,0.8884083183398479,0.7142732234418545,0.775,0.8384870943010478,,,,
MAO_A,classification,random,2,3226,359,0.9565976658999915,0.8943645031889125,0.7788067800583452,0.825,0.8690689155805436,,,,
MAO_A,classification,random,3,3226,359,0.9580032370730045,0.9177003042726039,0.810901352443694,0.8481012658227848,0.8803773745634211,,,,
MAO_A,classification,random,4,3226,359,0.9639236732259987,0.9245304646373894,0.7535592583533435,0.802547770700637,0.8516270551154272,,,,
MAO_A,classification,random,5,3226,359,0.9828775875287502,0.9505783692605474,0.8848856989580177,0.9122807017543859,0.9406678592725104,,,,
MAO_A,classification,random,6,3227,358,0.9694462400344754,0.9218278015716572,0.8050021427068315,0.8502994011976048,0.8975005386770093,,,,
MAO_A,classification,random,7,3227,358,0.94346046110752,0.8794666745976574,0.7026695995578265,0.7643312101910829,0.8309631544925663,,,,
MAO_A,classification,random,8,3227,358,0.9762120232708468,0.9195084765011909,0.8345713046122021,0.8711656441717791,0.9048265460030166,,,,
MAO_A,classification,random,9,3227,358,0.9593878248974008,0.8922560312804404,0.7585491416879204,0.8143712574850299,0.8714517783857729,,,,
MAO_A,classification,random,10,3227,358,0.9639620383036936,0.9073558903124831,0.7826549514266404,0.8333333333333334,0.8849179206566348,,,,
MAO_A,classification,scaffold,1,3226,359,0.9343500092988655,0.8670689726673897,0.7656764683389954,0.8085106382978723,0.8608657243816255,,,,
