name,smiles,bbb,compound_type,data_source,ad_target_count,pd_target_count,als_target_count,hd_target_count,antioxidant,anti_inflammatory,mitochondrial_support,aggregation_modulation,cognitive_enhancement,neurogenesis,synaptic_plasticity,tier
BROMAZEPAM,,High,Clinical Candidate,chembl_ml_predicted,2,0,0,0,67.0,71.0,68.0,59.0,83.0,56.0,70.0,silver
BROTIZOLAM,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,67.0,67.0,52.0,79.0,57.0,66.0,silver
PIRACETAM,,Low-Med,Clinical Candidate,chembl_ml_predicted,2,0,0,0,73.0,73.0,66.0,57.0,81.0,61.0,70.0,silver
BENPERIDOL,,Medium,Clinical Candidate,chembl_ml_predicted,2,0,0,0,72.0,71.0,65.0,61.0,78.0,57.0,71.0,silver
SAFINAMIDE MESYLATE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,65.0,60.0,52.0,54.0,51.0,40.0,43.0,silver
ENTACAPONE,,Low,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,65.0,62.0,56.0,53.0,52.0,41.0,42.0,silver
CHOLECALCIFEROL,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,72.0,63.0,60.0,62.0,58.0,47.0,50.0,silver
PREGABALIN,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,65.0,68.0,63.0,55.0,75.0,57.0,72.0,silver
CLOMETHIAZOLE,,High,Clinical Candidate,chembl_ml_predicted,2,0,0,0,67.0,69.0,67.0,55.0,79.0,64.0,69.0,silver
BUDIPINE,,Low-Med,Clinical Candidate,chembl_ml_predicted,0,2,0,0,74.0,68.0,61.0,57.0,56.0,46.0,51.0,silver
DOMPERIDONE,,Medium,Clinical Candidate,chembl_ml_predicted,0,2,0,0,71.0,65.0,64.0,59.0,58.0,47.0,51.0,silver
SAFINAMIDE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,64.0,59.0,52.0,53.0,52.0,40.0,43.0,silver
AMISULPRIDE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,70.0,70.0,62.0,54.0,78.0,56.0,71.0,silver
GLUTATHIONE,,Low,Clinical Candidate,chembl_ml_predicted,0,2,0,0,62.0,61.0,53.0,56.0,56.0,40.0,43.0,silver
MARAVIROC,,Low,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,69.0,71.0,66.0,62.0,81.0,56.0,74.0,silver
CHLORAL HYDRATE,,Medium,Clinical Candidate,chembl_ml_predicted,2,0,0,0,74.0,70.0,67.0,57.0,72.0,56.0,65.0,silver
